Entity,Code,Year,CM,HE,Population,Continent
Australia,AUS,1963,2.320000076,,10845179,
Australia,AUS,1964,2.270000076,,11065419,
Australia,AUS,1965,2.229999924,,11313186,
Australia,AUS,1966,2.210000038,,11593402,
Australia,AUS,1967,2.2,,11899644,
Australia,AUS,1968,2.189999962,,12215704,
Australia,AUS,1969,2.170000076,,12518931,
Australia,AUS,1970,2.15,,12793030,
Australia,AUS,1971,2.1,,13033130,
Australia,AUS,1972,2.029999924,,13244163,
Australia,AUS,1973,1.939999962,,13431790,
Australia,AUS,1974,1.839999962,,13605574,
Australia,AUS,1975,1.729999924,,13773290,
Australia,AUS,1976,1.620000076,,13935722,
Australia,AUS,1977,1.519999981,,14092545,
Australia,AUS,1978,1.439999962,,14249403,
Australia,AUS,1979,1.360000038,,14413002,
Australia,AUS,1980,1.3,,14588400,
Australia,AUS,1981,1.25,,14777241,
Australia,AUS,1982,1.219999981,,14979203,
Australia,AUS,1983,1.189999962,,15194644,
Australia,AUS,1984,1.160000038,,15423156,
Australia,AUS,1985,1.130000019,,15663672,
Australia,AUS,1986,1.1,,15917580,
Australia,AUS,1987,1.060000038,,16183159,
Australia,AUS,1988,1.019999981,,16452258,
Australia,AUS,1989,0.969999981,,16713989,
Australia,AUS,1990,0.919999981,,16960600,
Australia,AUS,1991,0.869999981,,17189235,
Australia,AUS,1992,0.819999981,,17402179,
Australia,AUS,1993,0.769999981,,17603211,
Australia,AUS,1994,0.730000019,,17798526,
Australia,AUS,1995,0.7,,17993083,
Australia,AUS,1996,0.680000019,,18189274,
Australia,AUS,1997,0.65999999,,18387205,
Australia,AUS,1998,0.64000001,,18587027,
Australia,AUS,1999,0.630000019,,18788187,
Australia,AUS,2000,0.619999981,2155.341553,18991434,
Australia,AUS,2001,0.60999999,2279.328369,19194676,
Australia,AUS,2002,0.6,2438.218262,19401366,
Australia,AUS,2003,0.59000001,2561.601074,19624163,
Australia,AUS,2004,0.580000019,2753.679688,19879654,
Australia,AUS,2005,0.569999981,2841.891357,20178543,
Australia,AUS,2006,0.55999999,3012.346924,20526300,
Australia,AUS,2007,0.54000001,3180.877441,20916339,
Australia,AUS,2008,0.519999981,3297.279053,21332293,
Australia,AUS,2009,0.5,3553.792236,21750852,
Australia,AUS,2010,0.480000019,3587.303711,22154687,
Australia,AUS,2011,0.45,3760.759766,22538002,
Australia,AUS,2012,0.430000019,3778.473633,22903951,
Australia,AUS,2013,0.40999999,4161.620117,23254912,
Australia,AUS,2014,0.4,4283.14209,23596426,
Australia,AUS,2015,0.39000001,4392.074219,23932499,Oceania
Australia,AUS,2016,0.379999995,4632.316406,24262710,
Australia,AUS,2017,0.379999995,4715.827148,24584619,
Australia,AUS,2018,0.370000005,4876.28125,24898153,
Australia,AUS,2019,0.370000005,5294.462891,25203200,
Australia,AUS,2020,0.370000005,,25499881,
Australia,AUS,2021,,,25788217,
Austria,AUT,1900,,,5979177,
Austria,AUT,1901,,,6040558,
Austria,AUT,1902,,,6102566,
Austria,AUT,1903,,,6165209,
Austria,AUT,1904,,,6228494,
Austria,AUT,1905,,,6292428,
Austria,AUT,1906,,,6357019,
Austria,AUT,1907,,,6422273,
Austria,AUT,1908,,,6488197,
Austria,AUT,1909,,,6538011,
Austria,AUT,1910,,,6571589,
Austria,AUT,1911,,,6588805,
Austria,AUT,1912,,,6589531,
Austria,AUT,1913,,,6573639,
Austria,AUT,1914,,,6557784,
Austria,AUT,1915,,,6541968,
Austria,AUT,1916,,,6526190,
Austria,AUT,1917,,,6510449,
Austria,AUT,1918,,,6494626,
Austria,AUT,1919,,,6486498,
Austria,AUT,1920,,,6486071,
Austria,AUT,1921,,,6493354,
Austria,AUT,1922,,,6508357,
Austria,AUT,1923,,,6531085,
Austria,AUT,1924,,,6553893,
Austria,AUT,1925,,,6576781,
Austria,AUT,1926,,,6599749,
Austria,AUT,1927,,,6622797,
Austria,AUT,1928,,,6645925,
Austria,AUT,1929,,,6664880,
Austria,AUT,1930,,,6679646,
Austria,AUT,1931,,,6690205,
Austria,AUT,1932,,,6696544,
Austria,AUT,1933,,,6698645,
Austria,AUT,1934,,,6700747,
Austria,AUT,1935,,,6702849,
Austria,AUT,1936,,,6704952,
Austria,AUT,1937,,,6707055,
Austria,AUT,1938,,,6709160,
Austria,AUT,1939,,,6715381,
Austria,AUT,1940,,,6725736,
Austria,AUT,1941,,,6740238,
Austria,AUT,1942,,,6758904,
Austria,AUT,1943,,,6781749,
Austria,AUT,1944,,,6804670,
Austria,AUT,1945,,,6827669,
Austria,AUT,1946,,,6850746,
Austria,AUT,1947,,,6873901,
Austria,AUT,1948,,,6897134,
Austria,AUT,1949,,,6917985,
Austria,AUT,1950,,,6936442,
Austria,AUT,1951,,,6931346,
Austria,AUT,1952,,,6931194,
Austria,AUT,1953,,,6935149,
Austria,AUT,1954,,,6942617,
Austria,AUT,1955,,,6953404,
Austria,AUT,1956,,,6967624,
Austria,AUT,1957,,,6985724,
Austria,AUT,1958,,,7008415,
Austria,AUT,1959,,,7036554,
Austria,AUT,1960,4.290000153,,7070773,
Austria,AUT,1961,4.020000076,,7111139,
Austria,AUT,1962,3.790000153,,7156836,
Austria,AUT,1963,3.590000153,,7205991,
Austria,AUT,1964,3.420000076,,7256091,
Austria,AUT,1965,3.270000076,,7305154,
Austria,AUT,1966,3.15,,7352239,
Austria,AUT,1967,3.05,,7397168,
Austria,AUT,1968,2.970000076,,7439581,
Austria,AUT,1969,2.929999924,,7479340,
Austria,AUT,1970,2.9,,7516238,
Austria,AUT,1971,2.870000076,,7550339,
Austria,AUT,1972,2.810000038,,7581120,
Austria,AUT,1973,2.689999962,,7607067,
Austria,AUT,1974,2.520000076,,7626290,
Austria,AUT,1975,2.310000038,,7637686,
Austria,AUT,1976,2.1,,7640755,
Austria,AUT,1977,1.939999962,,7636573,
Austria,AUT,1978,1.810000038,,7627762,
Austria,AUT,1979,1.710000038,,7617883,
Austria,AUT,1980,1.620000076,,7609750,
Austria,AUT,1981,1.55,,7604512,
Austria,AUT,1982,1.480000019,,7602177,
Austria,AUT,1983,1.410000038,,7603100,
Austria,AUT,1984,1.330000019,,7607296,
Austria,AUT,1985,1.260000038,,7614874,
Austria,AUT,1986,1.189999962,,7625395,
Austria,AUT,1987,1.110000038,,7639351,
Austria,AUT,1988,1.05,,7658856,
Austria,AUT,1989,1,,7686564,
Austria,AUT,1990,0.95,,7723954,
Austria,AUT,1991,0.910000038,,7772698,
Austria,AUT,1992,0.860000038,,7830938,
Austria,AUT,1993,0.8,,7892089,
Austria,AUT,1994,0.74000001,,7947215,
Austria,AUT,1995,0.680000019,,7990113,
Austria,AUT,1996,0.630000019,,8017852,
Austria,AUT,1997,0.6,,8032873,
Austria,AUT,1998,0.580000019,,8041054,
Austria,AUT,1999,0.55999999,,8051116,
Austria,AUT,2000,0.55,2708.029541,8069276,
Austria,AUT,2001,0.54000001,2761.801025,8097755,
Austria,AUT,2002,0.530000019,2935.818604,8134403,
Austria,AUT,2003,0.519999981,3073.730713,8175855,
Austria,AUT,2004,0.50999999,3288.346436,8216809,
Austria,AUT,2005,0.49000001,3381.659912,8253656,
Austria,AUT,2006,0.469999981,3591.060303,8285344,
Austria,AUT,2007,0.45999999,3759.672852,8313731,
Austria,AUT,2008,0.45,4024.80249,8341525,
Austria,AUT,2009,0.45,4191.473145,8372657,
Austria,AUT,2010,0.430000019,4303.119629,8409945,
Austria,AUT,2011,0.419999981,4465.65918,8453501,
Austria,AUT,2012,0.4,4750.581543,8502230,
Austria,AUT,2013,0.39000001,4945.449707,8556191,
Austria,AUT,2014,0.379999995,5082.537109,8615205,
Austria,AUT,2015,0.370000005,5204.62207,8678667,Europe
Austria,AUT,2016,0.35999999,5476.677734,8747306,
Austria,AUT,2017,0.35999999,5641.175293,8819902,
Austria,AUT,2018,0.35999999,5898.353027,8891383,
Austria,AUT,2019,0.35999999,6134.131348,8955108,
Austria,AUT,2020,0.35999999,,9006400,
Austria,AUT,2021,,,9043072,
Belgium,BEL,1900,,,6717693,
Belgium,BEL,1901,,,6788335,
Belgium,BEL,1902,,,6861404,
Belgium,BEL,1903,,,6936940,
Belgium,BEL,1904,,,7013309,
Belgium,BEL,1905,,,7090518,
Belgium,BEL,1906,,,7168577,
Belgium,BEL,1907,,,7247495,
Belgium,BEL,1908,,,7327282,
Belgium,BEL,1909,,,7392503,
Belgium,BEL,1910,,,7442986,
Belgium,BEL,1911,,,7478558,
Belgium,BEL,1912,,,7499046,
Belgium,BEL,1913,,,7504272,
Belgium,BEL,1914,,,7509502,
Belgium,BEL,1915,,,7514736,
Belgium,BEL,1916,,,7519973,
Belgium,BEL,1917,,,7525214,
Belgium,BEL,1918,,,7530616,
Belgium,BEL,1919,,,7545092,
Belgium,BEL,1920,,,7568708,
Belgium,BEL,1921,,,7601534,
Belgium,BEL,1922,,,7643636,
Belgium,BEL,1923,,,7695085,
Belgium,BEL,1924,,,7746881,
Belgium,BEL,1925,,,7799025,
Belgium,BEL,1926,,,7851520,
Belgium,BEL,1927,,,7904369,
Belgium,BEL,1928,,,7957573,
Belgium,BEL,1929,,,8005591,
Belgium,BEL,1930,,,8048371,
Belgium,BEL,1931,,,8085859,
Belgium,BEL,1932,,,8118000,
Belgium,BEL,1933,,,8144741,
Belgium,BEL,1934,,,8171569,
Belgium,BEL,1935,,,8198486,
Belgium,BEL,1936,,,8225492,
Belgium,BEL,1937,,,8252586,
Belgium,BEL,1938,,,8279770,
Belgium,BEL,1939,,,8307322,
Belgium,BEL,1940,,,8335242,
Belgium,BEL,1941,,,8363535,
Belgium,BEL,1942,,,8392202,
Belgium,BEL,1943,,,8421245,
Belgium,BEL,1944,,,8450388,
Belgium,BEL,1945,,,8479632,
Belgium,BEL,1946,,,8508977,
Belgium,BEL,1947,,,8538424,
Belgium,BEL,1948,,,8567973,
Belgium,BEL,1949,,,8600995,
Belgium,BEL,1950,,,8637521,
Belgium,BEL,1951,,,8680176,
Belgium,BEL,1952,,,8727988,
Belgium,BEL,1953,,,8779267,
Belgium,BEL,1954,,,8832697,
Belgium,BEL,1955,,,8887275,
Belgium,BEL,1956,,,8942408,
Belgium,BEL,1957,,,8997845,
Belgium,BEL,1958,,,9053640,
Belgium,BEL,1959,,,9110067,
Belgium,BEL,1960,3.379999924,,9167361,
Belgium,BEL,1961,3.240000153,,9225414,
Belgium,BEL,1962,3.120000076,,9283545,
Belgium,BEL,1963,3,,9340419,
Belgium,BEL,1964,2.889999962,,9394300,
Belgium,BEL,1965,2.789999962,,9443948,
Belgium,BEL,1966,2.7,,9488759,
Belgium,BEL,1967,2.620000076,,9529046,
Belgium,BEL,1968,2.55,,9565591,
Belgium,BEL,1969,2.479999924,,9599651,
Belgium,BEL,1970,2.4,,9632179,
Belgium,BEL,1971,2.310000038,,9663323,
Belgium,BEL,1972,2.2,,9692845,
Belgium,BEL,1973,2.079999924,,9720750,
Belgium,BEL,1974,1.960000038,,9747023,
Belgium,BEL,1975,1.85,,9771582,
Belgium,BEL,1976,1.75,,9794771,
Belgium,BEL,1977,1.670000076,,9816693,
Belgium,BEL,1978,1.589999962,,9836812,
Belgium,BEL,1979,1.519999981,,9854372,
Belgium,BEL,1980,1.460000038,,9868999,
Belgium,BEL,1981,1.389999962,,9880594,
Belgium,BEL,1982,1.330000019,,9889819,
Belgium,BEL,1983,1.269999981,,9897877,
Belgium,BEL,1984,1.219999981,,9906370,
Belgium,BEL,1985,1.169999981,,9916577,
Belgium,BEL,1986,1.139999962,,9928539,
Belgium,BEL,1987,1.1,,9942281,
Belgium,BEL,1988,1.069999981,,9959011,
Belgium,BEL,1989,1.030000019,,9980175,
Belgium,BEL,1990,1,,10006545,
Belgium,BEL,1991,0.969999981,,10039450,
Belgium,BEL,1992,0.930000019,,10078098,
Belgium,BEL,1993,0.880000019,,10118684,
Belgium,BEL,1994,0.819999981,,10155909,
Belgium,BEL,1995,0.75999999,,10186304,
Belgium,BEL,1996,0.70999999,,10208265,
Belgium,BEL,1997,0.65999999,,10223785,
Belgium,BEL,1998,0.630000019,,10237298,
Belgium,BEL,1999,0.6,,10255161,
Belgium,BEL,2000,0.580000019,2226.144287,10282046,
Belgium,BEL,2001,0.55999999,2352.505615,10319026,
Belgium,BEL,2002,0.54000001,2524.578613,10364879,
Belgium,BEL,2003,0.519999981,2851.01123,10419029,
Belgium,BEL,2004,0.50999999,3008.062256,10480118,
Belgium,BEL,2005,0.49000001,3082.290039,10546885,
Belgium,BEL,2006,0.480000019,3237.00708,10619484,
Belgium,BEL,2007,0.469999981,3381.330566,10697576,
Belgium,BEL,2008,0.45999999,3662.915527,10778764,
Belgium,BEL,2009,0.45,3927.464844,10859934,
Belgium,BEL,2010,0.44000001,4101.003418,10938735,
Belgium,BEL,2011,0.44000001,4269.318848,11013860,
Belgium,BEL,2012,0.430000019,4455.734863,11085355,
Belgium,BEL,2013,0.419999981,4621.130371,11154008,
Belgium,BEL,2014,0.40999999,4771.913574,11221225,
Belgium,BEL,2015,0.40999999,4834.890137,11287931,Europe
Belgium,BEL,2016,0.40999999,5244.892578,11354407,
Belgium,BEL,2017,0.40999999,5450.47998,11419752,
Belgium,BEL,2018,0.419999981,5683.120605,11482180,
Belgium,BEL,2019,0.419999981,5846.896484,11539326,
Belgium,BEL,2020,0.419999981,,11589616,
Belgium,BEL,2021,,,11632334,
Canada,CAN,1900,,,5411600,
Canada,CAN,1901,,,5523789,
Canada,CAN,1902,,,5657400,
Canada,CAN,1903,,,5813200,
Canada,CAN,1904,,,5973290,
Canada,CAN,1905,,,6137788,
Canada,CAN,1906,,,6306814,
Canada,CAN,1907,,,6480495,
Canada,CAN,1908,,,6658958,
Canada,CAN,1909,,,6831767,
Canada,CAN,1910,,,6998560,
Canada,CAN,1911,,,7158958,
Canada,CAN,1912,,,7312570,
Canada,CAN,1913,,,7458989,
Canada,CAN,1914,,,7608339,
Canada,CAN,1915,,,7760678,
Canada,CAN,1916,,,7916065,
Canada,CAN,1917,,,8074563,
Canada,CAN,1918,,,8239420,
Canada,CAN,1919,,,8403027,
Canada,CAN,1920,,,8565278,
Canada,CAN,1921,,,8726061,
Canada,CAN,1922,,,8885262,
Canada,CAN,1923,,,9042762,
Canada,CAN,1924,,,9203054,
Canada,CAN,1925,,,9366188,
Canada,CAN,1926,,,9532213,
Canada,CAN,1927,,,9701181,
Canada,CAN,1928,,,9873144,
Canada,CAN,1929,,,10034182,
Canada,CAN,1930,,,10183950,
Canada,CAN,1931,,,10322094,
Canada,CAN,1932,,,10448251,
Canada,CAN,1933,,,10562053,
Canada,CAN,1934,,,10677095,
Canada,CAN,1935,,,10793390,
Canada,CAN,1936,,,10910951,
Canada,CAN,1937,,,11029793,
Canada,CAN,1938,,,11149930,
Canada,CAN,1939,,,11288246,
Canada,CAN,1940,,,11445248,
Canada,CAN,1941,,,11621456,
Canada,CAN,1942,,,11817397,
Canada,CAN,1943,,,12033612,
Canada,CAN,1944,,,12253783,
Canada,CAN,1945,,,12477983,
Canada,CAN,1946,,,12706285,
Canada,CAN,1947,,,12938764,
Canada,CAN,1948,,,13175496,
Canada,CAN,1949,,,13439995,
Canada,CAN,1950,,,13733398,
Canada,CAN,1951,,,14078449,
Canada,CAN,1952,,,14445453,
Canada,CAN,1953,,,14834905,
Canada,CAN,1954,,,15245416,
Canada,CAN,1955,,,15673764,
Canada,CAN,1956,,,16114734,
Canada,CAN,1957,,,16561262,
Canada,CAN,1958,,,17004835,
Canada,CAN,1959,,,17436204,
Canada,CAN,1960,3.259999847,,17847404,
Canada,CAN,1961,3.15,,18233965,
Canada,CAN,1962,3.05,,18596848,
Canada,CAN,1963,2.939999962,,18943237,
Canada,CAN,1964,2.820000076,,19284228,
Canada,CAN,1965,2.710000038,,19627973,
Canada,CAN,1966,2.6,,19975695,
Canada,CAN,1967,2.5,,20324786,
Canada,CAN,1968,2.4,,20674999,
Canada,CAN,1969,2.3,,21025257,
Canada,CAN,1970,2.2,,21374326,
Canada,CAN,1971,2.089999962,,21723465,
Canada,CAN,1972,1.989999962,,22072193,
Canada,CAN,1973,1.889999962,,22415313,
Canada,CAN,1974,1.789999962,,22745896,
Canada,CAN,1975,1.7,,23059266,
Canada,CAN,1976,1.6,,23354587,
Canada,CAN,1977,1.510000038,,23634377,
Canada,CAN,1978,1.419999981,,23901716,
Canada,CAN,1979,1.330000019,,24161133,
Canada,CAN,1980,1.25,,24416885,
Canada,CAN,1981,1.180000019,,24668159,
Canada,CAN,1982,1.119999981,,24916538,
Canada,CAN,1983,1.060000038,,25171436,
Canada,CAN,1984,1.010000038,,25444886,
Canada,CAN,1985,0.980000019,,25744807,
Canada,CAN,1986,0.939999962,,26075504,
Canada,CAN,1987,0.910000038,,26432894,
Canada,CAN,1988,0.880000019,,26806125,
Canada,CAN,1989,0.85,,27179497,
Canada,CAN,1990,0.819999981,,27541323,
Canada,CAN,1991,0.8,,27888813,
Canada,CAN,1992,0.769999981,,28224410,
Canada,CAN,1993,0.74000001,,28547964,
Canada,CAN,1994,0.719999981,,28860734,
Canada,CAN,1995,0.69000001,,29164153,
Canada,CAN,1996,0.669999981,,29457820,
Canada,CAN,1997,0.65,,29742378,
Canada,CAN,1998,0.64000001,,30022078,
Canada,CAN,1999,0.630000019,,30302511,
Canada,CAN,2000,0.619999981,2429.605713,30588379,
Canada,CAN,2001,0.619999981,2617.796631,30880072,
Canada,CAN,2002,0.619999981,2758.297852,31178260,
Canada,CAN,2003,0.619999981,2927.970947,31488046,
Canada,CAN,2004,0.60999999,3086.56543,31815490,
Canada,CAN,2005,0.60999999,3290.419678,32164313,
Canada,CAN,2006,0.6,3563.675049,32536994,
Canada,CAN,2007,0.6,3731.279785,32930795,
Canada,CAN,2008,0.59000001,3868.458984,33337638,
Canada,CAN,2009,0.580000019,4153.828125,33746093,
Canada,CAN,2010,0.569999981,4272.628418,34147566,
Canada,CAN,2011,0.569999981,4308.483398,34539156,
Canada,CAN,2012,0.55999999,4416.809082,34922031,
Canada,CAN,2013,0.55,4581.4375,35296535,
Canada,CAN,2014,0.54000001,4659.252441,35664338,
Canada,CAN,2015,0.54000001,4751.443359,36026668,North America
Canada,CAN,2016,0.530000019,5084.125977,36382942,
Canada,CAN,2017,0.519999981,5208.718262,36732091,
Canada,CAN,2018,0.50999999,5427.74707,37074558,
Canada,CAN,2019,0.50999999,5520.651367,37411038,
Canada,CAN,2020,0.5,,37742157,
Canada,CAN,2021,,,38067913,
Denmark,DNK,1900,,,2565597,
Denmark,DNK,1901,,,2595319,
Denmark,DNK,1902,,,2625800,
Denmark,DNK,1903,,,2657054,
Denmark,DNK,1904,,,2688680,
Denmark,DNK,1905,,,2720683,
Denmark,DNK,1906,,,2753066,
Denmark,DNK,1907,,,2785834,
Denmark,DNK,1908,,,2818993,
Denmark,DNK,1909,,,2852524,
Denmark,DNK,1910,,,2886432,
Denmark,DNK,1911,,,2920720,
Denmark,DNK,1912,,,2955394,
Denmark,DNK,1913,,,2990457,
Denmark,DNK,1914,,,3025936,
Denmark,DNK,1915,,,3061836,
Denmark,DNK,1916,,,3098162,
Denmark,DNK,1917,,,3134919,
Denmark,DNK,1918,,,3172037,
Denmark,DNK,1919,,,3207678,
Denmark,DNK,1920,,,3241807,
Denmark,DNK,1921,,,3274391,
Denmark,DNK,1922,,,3305392,
Denmark,DNK,1923,,,3334775,
Denmark,DNK,1924,,,3364419,
Denmark,DNK,1925,,,3394327,
Denmark,DNK,1926,,,3424500,
Denmark,DNK,1927,,,3454942,
Denmark,DNK,1928,,,3485654,
Denmark,DNK,1929,,,3515938,
Denmark,DNK,1930,,,3545784,
Denmark,DNK,1931,,,3575182,
Denmark,DNK,1932,,,3604123,
Denmark,DNK,1933,,,3632598,
Denmark,DNK,1934,,,3661298,
Denmark,DNK,1935,,,3690224,
Denmark,DNK,1936,,,3719379,
Denmark,DNK,1937,,,3748764,
Denmark,DNK,1938,,,3778382,
Denmark,DNK,1939,,,3810539,
Denmark,DNK,1940,,,3845283,
Denmark,DNK,1941,,,3882658,
Denmark,DNK,1942,,,3922710,
Denmark,DNK,1943,,,3965488,
Denmark,DNK,1944,,,4008732,
Denmark,DNK,1945,,,4052448,
Denmark,DNK,1946,,,4096640,
Denmark,DNK,1947,,,4141315,
Denmark,DNK,1948,,,4186477,
Denmark,DNK,1949,,,4228817,
Denmark,DNK,1950,,,4268281,
Denmark,DNK,1951,,,4308917,
Denmark,DNK,1952,,,4346187,
Denmark,DNK,1953,,,4380305,
Denmark,DNK,1954,,,4411662,
Denmark,DNK,1955,,,4440779,
Denmark,DNK,1956,,,4468350,
Denmark,DNK,1957,,,4495215,
Denmark,DNK,1958,,,4522337,
Denmark,DNK,1959,,,4550683,
Denmark,DNK,1960,2.5,,4581099,
Denmark,DNK,1961,2.45,,4614027,
Denmark,DNK,1962,2.379999924,,4649341,
Denmark,DNK,1963,2.3,,4686269,
Denmark,DNK,1964,2.210000038,,4723623,
Denmark,DNK,1965,2.110000038,,4760461,
Denmark,DNK,1966,2,,4796481,
Denmark,DNK,1967,1.9,,4831750,
Denmark,DNK,1968,1.810000038,,4866069,
Denmark,DNK,1969,1.739999962,,4899289,
Denmark,DNK,1970,1.670000076,,4931239,
Denmark,DNK,1971,1.580000019,,4961759,
Denmark,DNK,1972,1.489999962,,4990551,
Denmark,DNK,1973,1.389999962,,5017247,
Denmark,DNK,1974,1.310000038,,5041413,
Denmark,DNK,1975,1.230000019,,5062731,
Denmark,DNK,1976,1.160000038,,5081262,
Denmark,DNK,1977,1.110000038,,5097049,
Denmark,DNK,1978,1.060000038,,5109693,
Denmark,DNK,1979,1.030000019,,5118711,
Denmark,DNK,1980,1,,5123945,
Denmark,DNK,1981,0.969999981,,5125296,
Denmark,DNK,1982,0.960000038,,5123349,
Denmark,DNK,1983,0.95,,5119607,
Denmark,DNK,1984,0.960000038,,5116055,
Denmark,DNK,1985,0.960000038,,5114250,
Denmark,DNK,1986,0.969999981,,5114645,
Denmark,DNK,1987,0.969999981,,5117282,
Denmark,DNK,1988,0.960000038,,5122442,
Denmark,DNK,1989,0.939999962,,5130362,
Denmark,DNK,1990,0.9,,5141117,
Denmark,DNK,1991,0.839999962,,5154906,
Denmark,DNK,1992,0.79000001,,5171654,
Denmark,DNK,1993,0.730000019,,5190745,
Denmark,DNK,1994,0.69000001,,5211334,
Denmark,DNK,1995,0.65,,5232709,
Denmark,DNK,1996,0.619999981,,5254857,
Denmark,DNK,1997,0.6,,5277713,
Denmark,DNK,1998,0.59000001,,5300380,
Denmark,DNK,1999,0.580000019,,5321771,
Denmark,DNK,2000,0.569999981,2327.757813,5341192,
Denmark,DNK,2001,0.55999999,2492.487305,5358059,
Denmark,DNK,2002,0.55,2670.243164,5372798,
Denmark,DNK,2003,0.54000001,2744.903564,5386968,
Denmark,DNK,2004,0.519999981,2968.252441,5402754,
Denmark,DNK,2005,0.5,3109.049072,5421701,
Denmark,DNK,2006,0.480000019,3424.716309,5444293,
Denmark,DNK,2007,0.45,3642.547119,5469920,
Denmark,DNK,2008,0.44000001,3938.907715,5497731,
Denmark,DNK,2009,0.419999981,4317.374512,5526389,
Denmark,DNK,2010,0.40999999,4457.368652,5554849,
Denmark,DNK,2011,0.40999999,4516.297852,5582980,
Denmark,DNK,2012,0.40999999,4597.623047,5610909,
Denmark,DNK,2013,0.40999999,4762.361328,5638152,
Denmark,DNK,2014,0.40999999,4886.55127,5664199,
Denmark,DNK,2015,0.40999999,5037.012695,5688695,Europe
Denmark,DNK,2016,0.40999999,5291.916016,5711346,
Denmark,DNK,2017,0.4,5573.279785,5732277,
Denmark,DNK,2018,0.39000001,5799.371094,5752131,
Denmark,DNK,2019,0.370000005,6015.460938,5771877,
Denmark,DNK,2020,0.35999999,,5792203,
Denmark,DNK,2021,,,5813302,
Finland,FIN,1900,,,2641828,
Finland,FIN,1901,,,2669919,
Finland,FIN,1902,,,2697717,
Finland,FIN,1903,,,2725213,
Finland,FIN,1904,,,2752988,
Finland,FIN,1905,,,2781048,
Finland,FIN,1906,,,2809393,
Finland,FIN,1907,,,2838027,
Finland,FIN,1908,,,2866952,
Finland,FIN,1909,,,2894150,
Finland,FIN,1910,,,2919589,
Finland,FIN,1911,,,2943236,
Finland,FIN,1912,,,2965061,
Finland,FIN,1913,,,2985031,
Finland,FIN,1914,,,3005135,
Finland,FIN,1915,,,3025375,
Finland,FIN,1916,,,3045751,
Finland,FIN,1917,,,3066264,
Finland,FIN,1918,,,3086979,
Finland,FIN,1919,,,3109648,
Finland,FIN,1920,,,3134303,
Finland,FIN,1921,,,3160974,
Finland,FIN,1922,,,3189692,
Finland,FIN,1923,,,3220491,
Finland,FIN,1924,,,3251587,
Finland,FIN,1925,,,3282983,
Finland,FIN,1926,,,3314683,
Finland,FIN,1927,,,3346688,
Finland,FIN,1928,,,3379002,
Finland,FIN,1929,,,3409796,
Finland,FIN,1930,,,3439042,
Finland,FIN,1931,,,3466711,
Finland,FIN,1932,,,3492777,
Finland,FIN,1933,,,3517209,
Finland,FIN,1934,,,3541812,
Finland,FIN,1935,,,3566588,
Finland,FIN,1936,,,3591537,
Finland,FIN,1937,,,3616660,
Finland,FIN,1938,,,3641959,
Finland,FIN,1939,,,3668255,
Finland,FIN,1940,,,3695561,
Finland,FIN,1941,,,3723891,
Finland,FIN,1942,,,3753260,
Finland,FIN,1943,,,3783681,
Finland,FIN,1944,,,3814348,
Finland,FIN,1945,,,3845264,
